Telco Domain Risk Summary — Per-Domain Risk Score Calculation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Each carrier rolled up from its subdomain-level V5 scores. MAX pillars = worst subdomain per pillar (operational view). Final Risk Score (Max) = max of subdomain composites; Final Risk Score (Avg) = mean across all subdomains.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rank;Domain;Subdomains;KEV Hosts;EPSS Hosts;Any-CVE Hosts;Weak DMARC Hosts;Weak SPF Hosts;Dangling CNAME Hosts;Int IP Exposed Hosts;SSH Hosts;FTP Hosts;MySQL Hosts;Postgres Hosts;RDP Hosts;SNMP Hosts;XSS Hosts;SSRF Hosts;SQLi Hosts;P1 CVE (Max);P2 Email (Max);P3 Infra (Max);P4 Web (Max);P5 Surface (Max);P1 CVE (Avg);P2 Email (Avg);P3 Infra (Avg);P4 Web (Avg);P5 Surface (Avg);Max Penalty;Final Risk Score (Max);Max Band;Final Risk Score (Avg);Avg Band;Worst Subdomain;FRN;holding_company;Registered Name;Company Name;city;state;Domain;# Employees;Private or Public;Aquired or Not;Annual Revenue;Founded Year;WISP or Cable;Principal_Communications_Type;Chief_Executive_Officer
11;insight360.com;12;1;1;1;0;0;0;0;11;11;11;0;0;0;1;1;1;97,3;0;100;100;77,3;8,1;0;91,7;8,3;63,7;5,0;95,8;Critical;84,5;Critical;insight360.com;33574138;;insight360;insight360;Canton;OH;insight360.com;01-Oct;Private;Based on the provided data, there is no information confirming that insight360 (insight360.com) has been acquired. Related companies with similar names have been acquired—such as 360 View (acquired by Abrigo) and Alta360 (acquired by Intouch Insight)—but the specific company listed in the spreadsheet is not mentioned as acquired in the search results.;$1-5 million;2019;NA;Interconnected VoIP;Vivek Bagal
12;usfon.org;12;3;1;3;1;1;1;0;10;10;10;0;0;0;3;0;4;96,5;90;100;100;76,1;22,4;7,5;83,3;28,3;58,1;5,0;95,6;Critical;84,9;Critical;usfon.org;18100230;;USFon, Inc.;USFon;Rockdale;TX;usfon.org;01-Oct;Private;I do not have enough information to answer the query. The provided text mentions acquisitions of the American Telephone Company and the Bell Telephone Company, but does not contain information regarding the acquisition status of The Telephone Company based in Westchester, IL.;Less than $1 million;2008;NA;CAP/LEC;Brian DeHaven
13;buysimsrealty.com;18;1;1;1;0;1;1;0;12;12;12;12;0;0;1;0;3;95;40;100;100;78,4;5,3;2,2;66,7;12,2;47,3;5,0;95,5;Critical;62,8;High;buysimsrealty.com;34753954;;Sims Real Estate;Sims Real Estate;La Crosse;WI;buysimsrealty.com;1;Private;I do not have enough information to determine if Sims Real Estate in La Crosse, WI has been acquired. The provided search results discuss the acquisition of Electronic Arts (the publisher of The Sims video game franchise) and an acquisition by Sims Limited (a metal recycling company), but do not mention the real estate agency in your spreadsheet.;Less than $1 million;2011;NA;Interconnected VoIP;Joanne Sims
14;skilledwork.org;11;2;1;2;0;1;1;0;3;3;3;0;0;0;1;1;1;94,2;40;100;100;77,3;15,6;3,6;27,3;14,5;26,5;5,0;95,4;Critical;39,1;Medium;skilledwork.org;;;;;;;;;;;;;;;
15;skyfreq.com;10;3;1;3;0;1;0;0;3;3;3;0;0;0;3;1;1;94,3;40;100;100;76,1;25,8;4;30;16;41,8;5,0;95,4;Critical;47,7;Medium;skyfreq.com;20291415;;SkyFrequency, Inc.;SkyFrequency;Madison;MS;skyfreq.com;Nov-50;Private;Not acquired;$10-50 million;2011;WISP;Other Local;Wade Spooner
16;mmumo.net;19;4;3;4;1;1;0;0;1;0;0;0;0;0;2;1;0;100;90;55;50;54,9;19,5;4,7;2,9;5,8;26,8;10,0;95,4;Critical;33,9;Medium;gw.mmumo.net;2487908;CITY OF MARSHALL;City of Marshall-Municipal Utilities;City of Marshall-Municipal Utilities;Marshall;MO;mmumo.net;51-200;Public;Based on the provided documents, City of Marshall-Municipal Utilities (MMU) has not been acquired. It is a municipally owned utility and an executive department of the City of Marshall, Missouri, governed by a Board of Public Works. While there were historical attempts by Northern States Power to purchase the utility in 1927, these were rejected.;$10M-$25M;1920;WISP;Private Service Provider;Jeff Bergstrom
17;call64.com;14;4;4;4;0;1;2;0;2;2;2;0;0;0;1;2;1;100;40;100;100;73,6;26,2;2,9;14,3;17,1;26,2;5,0;95,2;Critical;42,8;Medium;call64.com;33166232;;Call 64;Call 64;Brandon;FL;call64.com;Oct-50;Private;"I do not have enough information to determine if Call 64 has been acquired. The provided search results discuss a ""Call 64"" in the context of a recorded panel discussion about solar grazing and an ""Implementers Call 64"" related to Ethereum, but neither mentions a corporate acquisition of a company by that name.";$1 million - $5 million;2000;WISP;Interconnected VoIP;Joshua Wilson
18;synergyconnect.in;23;2;1;2;0;0;0;0;6;6;4;0;0;0;0;1;1;93,8;0;100;100;73,6;7,6;0;26,1;4,3;32,3;5,0;95,2;Critical;35,2;Medium;synergyconnect.in;29149101;;Synergy Connect;Synergy Connect;Sewell;NJ;synergyconnect.in;Nov-50;Private;I do not have enough information to determine if Synergy Connect (synergyconnect.in), an IT consulting services company based in Sewell, NJ (or Mumbai, India, as per some search results), has been acquired. The search results discuss acquisitions of other companies with similar names, such as Synergy HomeCare, Synergy Health, Synergy Sports, and Synergy Property Development Services, but none specifically confirm an acquisition for the Synergy Connect entity described in the spreadsheet.;$1M-$5M;2015;NA;Interconnected VoIP;Dean DAmbrosio
19;vci.net;17;5;4;5;0;1;0;0;4;4;1;0;0;2;3;1;3;100;40;100;100;72,3;28,3;2,4;22,6;16,5;43,2;5,0;95,2;Critical;46,6;Medium;ads.vci.net;8232423;;E-Tel, LLC;E-Tel;Paducah;KY;vci.net;10 to 50;Private;I do not have enough information to determine if E-Tel, LLC (vci.net) based in Paducah, KY has been acquired. The search results mention acquisitions of other companies with similar names, such as E-Tel Systems Corporation in Virginia by Comstar Technologies and E-Tel Corp in Rhode Island by dba Telecom Canada Ltd, but neither refers to the Kentucky-based E-Tel, LLC. While search results indicate that E-Tel/Murray, LLC purchased assets from Ruddata Corporation in 2014, there is no record of E-Tel, LLC itself being acquired.;$1-5 million;2001;NA;CAP/LEC;A D Wright
20;uniti.com;114;12;8;14;0;0;7;3;3;3;3;0;0;0;5;7;3;100;0;100;100;66;10,5;0;2,6;7,7;29,1;5,0;95,1;Critical;27,3;Medium;bidportal.uniti.com;20169025;Uniti Group Inc.;Uniti Fiber LLC;Uniti Fiber;Little Rock;AR;uniti.com;501-1,000;Public;I do not have enough information to answer the query. The provided text mentions acquisitions of the American Telephone Company and the Bell Telephone Company, but does not contain information regarding the acquisition status of The Telephone Company based in Westchester, IL.;$1+ billion;2015;NA;Other Mobile;Kenneth Gunderman
21;vitalnet360.com;6;3;2;4;0;1;0;0;5;3;3;0;0;0;3;2;2;92,4;40;100;100;76,1;52,6;6,7;68,3;38,3;57;5,0;95,1;Critical;69,5;High;vitalnet360.com;26588640;;Vital Networks, LLC;Vital;Ridgeland;MS;vitalnet360.com;Nov-50;Private;Acquired by Project Leadership Associates (PLA);$1M-$5M;2004;NA;CAP/LEC;Nilay Patel
22;1simplephone.com;17;3;0;3;0;1;0;1;3;3;3;0;0;0;3;0;0;89,2;40;100;30;67,7;15,7;2,4;17,6;6,5;16,7;5,0;95,0;Critical;22,6;Low;dev.1simplephone.com;;;;;;;;;;;;;;;
23;andersbusiness.com;18;2;2;2;0;0;2;0;3;0;0;0;0;0;0;0;0;100;0;55;30;40,2;11,1;0;9,2;3,3;22,6;5,0;95,0;Critical;26,9;Medium;andersbusiness.com;;;;;;;;;;;;;;;
24;asgtechnical.com;11;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;100;50;0;30;27,5;9,1;4,5;0;2,7;15;5,0;95,0;Critical;21,6;Low;portal.asgtechnical.com;;;;;;;;;;;;;;;
25;barconnects.com;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;27,5;100;0;0;0;27,5;5,0;95,0;Critical;95,0;Critical;barconnects.com;;;;;;;;;;;;;;;
26;bgtco.net;18;1;1;1;0;1;4;0;0;5;0;0;2;0;0;1;0;100;40;95;50;85;5,6;2,2;14,7;9,4;26,3;5,0;95,0;Critical;30,6;Medium;bgtco.net;4942819;;Burke's Garden Telephone Company, Inc.;Burke's Garden Telephone Company;Tazewell;VA;bgtco.net;1 to 10;Private;Acquired by Scott County Telephone Cooperative (SCTC);Less than $1 million;1899;NA;Incumbent Local Exchange Carrier;Ron Levison
27;blanchardtel.com;13;1;1;1;1;1;0;0;0;1;0;0;0;0;1;0;0;100;90;25;30;64,1;7,7;6,9;1,9;2,3;17,6;5,0;95,0;Critical;23,9;Low;portal.blanchardtel.com;;;;;;;;;;;;;;;
28;boycomonline.com;17;1;1;1;0;1;0;1;0;2;0;0;0;0;0;0;1;100;40;25;60;67,7;5,9;2,4;2,9;4,7;20,4;5,0;95,0;Critical;20,6;Low;myaccount.boycomonline.com;;;;;;;;;;;;;;;
29;brandenburgtelecom.com;2;1;0;1;0;0;1;0;0;1;0;0;0;0;1;0;1;78,7;0;25;100;67,7;39,4;0;12,5;50;33,9;5,0;95,0;Critical;47,5;Medium;www.brandenburgtelecom.com;;;;;;;;;;;;;;;
30;btussel.com;9;1;0;1;1;1;0;0;0;0;0;0;0;0;1;1;1;83;90;0;100;66;9,2;10;0;14,4;24;5,0;95,0;Critical;28,0;Medium;btussel.com;15017189;HILBERT COMMUNICATIONS LLC;Bug Tussel Wireless, LLC;Bug Tussel Wireless;Green Bay;WI;btussel.com;177 to 250;Private;Not Acquired;$11 million - $12 million;2003;WISP;Cellular/PCS/SMR;Eric Voldstad
31;buckeyetelecom.com;6;0;0;0;1;1;1;0;0;4;1;0;0;0;0;1;1;0;90;65;100;88,9;0;15;23,3;21,7;49,9;5,0;95,0;Critical;48,2;Medium;buckeyetelecom.com;;;;;;;;;;;;;;;
32;button108.com;5;1;1;2;1;1;0;0;2;2;2;0;0;0;1;0;1;95,5;90;100;60;77,3;35,5;18;40;18;45,2;5,0;95,0;Critical;61,0;High;ww2.button108.com;;;;;;;;;;;;;;;
33;c3concurrent.com;26;1;1;3;0;0;3;0;10;11;10;0;0;0;2;0;3;82;0;100;60;88,9;7,1;0;39,4;12,7;37,5;5,0;95,0;Critical;46,5;Medium;mail.c3concurrent.com;23887243;;C3Concurrent;C3Concurrent;McKinney;TX;c3concurrent.com;5;Private;Acquired by UP Fiber, Inc.;$1 million - $5 million;2004;NA;Private Service Provider;Mary Ann Engberg
34;camelliafiber.com;18;1;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;100;0;0;30;27,5;5,6;0;0;3,3;18,3;5,0;95,0;Critical;18,3;Low;signup.camelliafiber.com;;;;;;;;;;;;;;;
35;canbytel.com;28;1;1;2;0;1;2;3;0;0;0;0;0;0;0;0;0;100;40;0;30;48,6;4,9;1,4;0;4,3;17,9;5,0;95,0;Critical;17,1;Low;conference.canbytel.com;;;;;;;;;;;;;;;
36;cannonvalley.com;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;27,5;100;0;0;0;27,5;5,0;95,0;Critical;95,0;Critical;cannonvalley.com;;;;;;;;;;;;;;;
37;caricomm.com;23;1;1;2;1;1;1;0;11;10;10;0;0;0;2;1;3;100;90;100;100;77,3;6,3;3,9;45,9;12,2;44,6;5,0;95,0;Critical;56,1;High;admin.caricomm.com;;;;;;;;;;;;;;;
38;cctc.net;15;2;1;2;0;1;1;1;5;5;5;0;0;0;0;0;0;100;40;100;30;54,9;12,5;2,7;33,3;3,3;26,8;5,0;95,0;Critical;39,5;Medium;cctc.net;;;;;;;;;;;;;;;
39;cedarcommunications.com;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;27,5;100;0;0;0;27,5;5,0;95,0;Critical;95,0;Critical;cedarcommunications.com;;;;;;;;;;;;;;;
40;cheqnet.net;6;1;2;3;1;0;0;0;1;1;1;0;0;0;2;0;1;100;50;100;60;78,4;33,9;8,3;16,7;20;58,8;5,0;95,0;Critical;56,0;High;mail.cheqnet.net;;;;;;;;;;;;;;;
41;chickasawtel.com;9;1;1;2;1;0;2;0;0;4;0;0;0;0;0;1;1;100;50;25;80;74,9;14,1;5,6;11,1;18,9;33,8;5,0;95,0;Critical;37,0;Medium;ftp.chickasawtel.com;;;;;;;;;;;;;;;
42;chiefcomms.com;10;1;2;2;0;1;0;0;6;6;6;6;0;0;1;0;1;100;40;100;60;76,1;17,2;4;60;9;49,7;5,0;95,0;Critical;69,7;High;portal.chiefcomms.com;;;;;;;;;;;;;;;
43;cityofpella.com;9;2;0;2;0;0;0;0;0;0;0;0;0;0;2;2;2;80,1;0;0;100;27,5;17,8;0;0;22,2;21,4;5,0;95,0;Critical;30,9;Medium;cityofpella.com;;;;;;;;;;;;;;;
44;coblentztechnology.com;14;2;1;4;0;1;2;0;0;0;0;0;0;0;3;0;0;100;40;0;30;27,5;16,3;2,9;0;10,7;17,7;5,0;95,0;Critical;26,8;Medium;voip.coblentztechnology.com;27359264;;Coblentz Technology, LLC;Coblentz Technology;Millersburg;OH;coblentztechnology.com;2;Private;I do not have enough information to determine if Coblentz Technology has been acquired. The provided text discusses the Coblentz Society (a scientific organization) and Coblentz Patch Duffy & Bass LLP (a law firm), but does not contain information regarding the acquisition status of Coblentz Technology located in Millersburg, OH.;Less than $1 million;2016;WISP;Interconnected VoIP;Preston Coblentz
45;coldwater.org;29;2;1;3;0;1;0;0;0;1;0;0;0;1;3;1;1;83;40;25;100;66;6,7;1,4;1,7;5,5;18,5;5,0;95,0;Critical;16,9;Low;remote.fiber.coldwater.org;2733921;COLDWATER BOARD OF PUBLIC UTILITES;CBPU telecom;CBPU telecom;Coldwater;MI;coldwater.org;51-200;Public;I do not have enough information to determine if CBPU telecom (coldwater.org) has been acquired. The provided search results indicate that the Coldwater Board of Public Utilities (CBPU) is a city-owned utility in Coldwater, Michigan, that has recently completed a $4.2 million fiber-to-the-home project and changed its internet bandwidth suppliers to Merit Network, Inc., but there is no mention of the entity itself being acquired by another company.;$10 million - $50 million;1891;Cable;Cable TV provider of local exchange;Paul Jakubczak
46;commchoice.com;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;27,5;100;0;0;0;27,5;5,0;95,0;Critical;95,0;Critical;commchoice.com;6801401;Long Lines LLC;CommChoice of Iowa;CommChoice of Iowa;Sergeant Bluff;IA;commchoice.com;143;Private;Aquired by Long Lines, LLC;$50 million - $100 million;1953;Cable;CAP/LEC;Paul Bergmann
47;crossriverfiber.com;15;6;0;6;0;0;1;0;6;6;6;0;0;0;6;0;1;79,5;0;100;90;69,3;31,5;0;40;18;38,3;5,0;95,0;Critical;47,4;Medium;crossriverfiber.com;21840541;CROSS RIVER FIBER LLC;Cross River Fiber NJ LLC;Cross River Fiber NJ;Morristown;NJ;crossriverfiber.com;11;Private;Aquired by BAI Communications (now Boldyn Networks);Not available;2011;Cable;CAP/LEC;Vincenzo Clemente
48;csinfo.com;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;100;0;55;0;27,5;100;0;55;0;27,5;5,0;95,0;Critical;95,0;Critical;csinfo.com;;;;;;;;;;;;;;;
49;cstech.com;14;1;2;2;0;1;0;0;3;3;3;3;0;0;0;0;1;100;40;100;60;76,1;11,9;2,9;21,4;4,3;34,3;5,0;95,0;Critical;37,6;Medium;speedtest.cstech.com;;;;;;;;;;;;;;;
50;cubacitytel.com;3;1;2;2;0;0;1;0;2;2;3;2;0;0;1;1;2;100;0;100;100;76,1;55,5;0;80;63,3;64,1;5,0;95,0;Critical;91,7;Critical;news.cubacitytel.com;4380952;LYNCH CORPORATION III;Cuba City Telephone Exchange Company;Cuba City Telephone Exchange Company;Cuba City;WI;cubacitytel.com;Nov-50;Private;"I do not have enough information to determine if The Telephone Man in Centennial, CO has been acquired. The search results discuss the acquisition of Telephonics Corporation by TTM Technologies and songs titled ""Telephone Man"" or ""Mr. Telephone Man,"" but they do not contain information about the specific company ""The Telephone Man.""";<5M;1899;NA;Incumbent Local Exchange Carrier;Mark Harvey
51;customteleconnect.com;8;1;1;2;1;1;0;0;0;0;0;0;0;0;2;0;0;100;90;0;30;59,9;16,7;11,2;0;7,5;38,8;5,0;95,0;Critical;42,7;Medium;customteleconnect.com;5026257;;Custom Teleconnect, Inc.;Custom Teleconnect;Las Vegas;NV;customteleconnect.com;Nov-50;Private;"I do not have enough information to answer this query. The provided search results discuss the acquisitions of similarly named companies, such as ""Atlantic Teleconnect"" (acquired by Monroe Engineering Holdings) and ""Custom Connect"" (acquired by GTT Communications), but there is no information confirming that the specific company ""Custom Teleconnect, Inc."" based in Las Vegas has been acquired.";$5-10 million;1993;NA;Operator Service Provider (OSP);Vicki Crowder
52;deltafiber.net;9;3;1;3;0;0;0;0;0;3;0;0;0;0;3;0;0;100;0;25;30;44,8;29,7;0;8,3;10;13,8;5,0;95,0;Critical;28,0;Medium;autoconfig.deltafiber.net;;;;;;;;;;;;;;;
53;eltopia.net;18;3;4;4;0;1;0;0;7;3;0;0;0;2;0;0;0;100;40;80;0;59,9;19,9;2,2;28,3;0;33,1;5,0;95,0;Critical;36,6;Medium;conf1.eltopia.net;14346522;;Eltopia Communications, LLC.;Eltopia Communications;Burien;WA;eltopia.net;01-Oct;Private;Not Acquired;$1-5 million;2006;WISP;CAP/LEC;Will MacHugh
54;emily.net;19;3;1;3;0;1;0;0;0;3;0;0;0;0;2;0;2;100;40;25;90;59,9;14,1;2,1;3,9;9,5;23,1;5,0;95,0;Critical;24,7;Low;emily.net;;;;;;;;;;;;;;;
55;intellectualtechs.com;9;1;0;3;1;1;0;0;2;4;4;0;0;0;1;1;1;80,1;90;100;80;70,8;15,7;10;36,7;15,6;32,9;5,0;95,0;Critical;45,7;Medium;intellectualtechs.com;37686029;;Intellectual Techs Consulting, LLC;Intellectual Techs Consulting;Douglasville;GA;intellectualtechs.com;01-Oct;Private;"I do not have enough information to answer the query. The provided search results discuss acquisitions of companies with similar names, such as ""Intelligent Technical Solutions,"" ""ITEC Intelligent Services,"" and ""TechPats,"" but they do not contain information regarding ""Intellectual Techs Consulting"" based in Douglasville, GA.";$1-5 million;2012;NA;Local Reseller;Carletta Calahan
56;intellipop.co;20;2;3;8;0;1;0;2;14;4;7;0;0;1;5;0;2;98,1;40;100;90;100;22,7;2;54,8;15,5;39,3;5,0;95,0;Critical;53,9;High;sms-service.intellipop.co;;;;;;;;;;;;;;;
57;intralinks.net;9;2;1;2;0;1;2;0;0;0;0;0;0;0;2;0;0;100;40;0;30;66;20,4;4,4;0;13,3;24,8;5,0;95,0;Critical;34,8;Medium;reporting.intralinks.net;;;;;;;;;;;;;;;
58;iptechlabs.com;2;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1;0;100;90;0;50;27,5;50;45;0;25;27,5;5,0;95,0;Critical;90,0;Critical;iptechlabs.com;;;;;;;;;;;;;;;
59;iptelx.net;24;4;2;4;0;0;1;0;2;0;0;0;0;1;0;1;1;100;0;80;60;67,7;14,2;0;5,6;5,8;24,3;5,0;95,0;Critical;26,3;Medium;staging.iptelx.net;;;;;;;;;;;;;;;
60;jamestowntribe.org;22;2;2;2;0;0;2;0;0;1;0;0;0;0;1;1;0;100;0;25;50;34,7;8,6;0;1,1;6,4;14,4;5,0;95,0;Critical;18,3;Low;tribalmuseum.jamestowntribe.org;;;;;;;;;;;;;;;
61;jbntelco.com;19;2;1;2;0;0;0;0;0;4;1;1;0;0;1;0;0;100;0;100;30;62,1;9,8;0;9,2;1,6;26;5,0;95,0;Critical;26,0;Medium;jbntelco.com;4340410;LYNCH INTERACTIVE CORPORATION;JBN Telephone Co., Inc.;JBN Telephone;Holton;KS;jbntelco.com;20-49;Private;Acquired by Lynch Corporation (now LICT Corporation);$131.3 million;1955;WISP;Incumbent Local Exchange Carrier;Stephen Moore
62;jcfiber.com;18;1;1;1;0;1;1;0;12;12;12;0;0;0;0;1;4;89,4;40;100;100;76,1;5;2,2;66,7;15,6;46,1;5,0;95,0;Critical;62,8;High;jcfiber.com;23422199;CENTRAL INDIANA COMMUNICATIONS INC;Johnson County Fiber Network;Johnson County Fiber Network;Greenfield;IN;jcfiber.com;Nov-50;Private;Not acquired;$1-5 million;2012;NA;CAP/LEC;John Sturm
63;kellin.net;20;2;2;2;0;0;0;2;0;0;0;0;0;0;0;2;1;100;0;0;100;57,6;10;0;0;9,5;16,6;5,0;95,0;Critical;23,4;Low;kellin.net;15457351;;Kellin Communications;Kellin Communications;Castle Rock;CO;kellin.net;Nov-50;Private;Based on the provided data, Kellin Communications has not been acquired.;$1-5 million;2005;WISP;Interconnected VoIP;Randi Lykou
64;kermantel.net;36;1;1;1;0;0;0;0;0;2;0;0;0;0;0;0;0;100;0;25;0;27,5;2,8;0;1,4;0;9,2;5,0;95,0;Critical;8,1;Minimal;tools.kermantel.net;;;;;;;;;;;;;;;
65;kgt.net;19;3;0;4;0;0;2;0;11;9;9;0;0;0;3;0;3;83;0;100;60;88,9;14,4;0;53,2;17,4;49,9;5,0;95,0;Critical;59,7;High;admin.kgt.net;;;;;;;;;;;;;;;
66;manti.com;30;7;6;10;0;0;0;2;7;4;2;0;0;0;2;3;0;100;0;95;50;66;26,7;0;18,8;8,3;22,7;5,0;95,0;Critical;33,2;Medium;live.manti.com;4939724;;Manti Telephone Company;Manti Telephone Company;Manti;UT;manti.com;01-Oct;Private;Acquired by Lynch Telephone Corporation X (a subsidiary of LICT Corporation);$5-10 million;1907;WISP;Incumbent Local Exchange Carrier;Dallas Cox
